fra;strate2;jour;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-06-02;2;;0;0;0;0
FR;0;2020-06-03;0;0.533412838665934;1.25605313685861;0.153467939616177;15.8861667202687;1.45869041635182
FR;0;2020-06-03;1;;0;0;0;0
FR;0;2020-06-03;2;;0;0;0;0
FR;0;2020-06-04;0;0.496163338759095;1.2113537369704;0.144528059638535;15.2305755219083;1.36631165658285
FR;0;2020-06-04;1;;0;0;0;0
FR;0;2020-06-04;2;;0;0;0;0
FR;0;2020-06-05;0;0.470833678822445;1.16814431707847;0.15048797962363;14.624153663425;1.28287277679154
FR;0;2020-06-05;1;;0;0;0;0
FR;0;2020-06-05;2;;0;0;0;0
FR;0;2020-06-06;0;0.451463938870889;1.14579461713437;0.15048797962363;13.8970434252435;1.21433369696295
FR;0;2020-06-06;1;;0;0;0;0
FR;0;2020-06-06;2;;0;0;0;0
FR;0;2020-06-07;0;0.420174358949144;1.10854511722753;0.147508019631082;13.7942348055006;1.19347397701512
FR;0;2020-06-07;1;;0;0;0;0
FR;0;2020-06-07;2;;0;0;0;0
FR;0;2020-06-08;0;0.399314639001314;1.09960523724989;0.151977959619903;13.8553239853478;1.19645393700767
FR;0;2020-06-08;1;;0;0;0;0
FR;0;2020-06-08;2;;0;0;0;0
FR;0;2020-06-09;0;0.365045099087022;1.04596595738404;0.147508019631082;13.3949201664993;1.12642487718281
FR;0;2020-06-09;1;;0;0;0;0
FR;0;2020-06-09;2;;0;0;0;0
FR;0;2020-06-10;0;0.329285579176457;1.01467637746229;0.157937879604997;12.979215747539;1.09513529726107
FR;0;2020-06-10;1;;0;0;0;0
FR;0;2020-06-10;2;;0;0;0;0
FR;0;2020-06-11;0;0.314385779213721;0.975936897559182;0.159427859601271;12.6171506084445;1.04745593738031
FR;0;2020-06-11;1;;0;0;0;0
FR;0;2020-06-11;2;;0;0;0;0
FR;0;2020-06-12;0;0.302465939243533;0.935707437659796;0.148997999627356;12.2029361694805;1.00275653749211
FR;0;2020-06-12;1;;0;0;0;0
FR;0;2020-06-12;2;;0;0;0;0
FR;0;2020-06-13;0;0.281606219295703;0.889518057775315;0.144528059638535;11.8364010903972;0.966997017581541
FR;0;2020-06-13;1;;0;0;0;0
FR;0;2020-06-13;2;;0;0;0;0
FR;0;2020-06-14;0;0.281606219295703;0.916337697708239;0.143038079642262;11.7991515904903;0.956567157607625
