fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-06-13;0;1;;0;0;0;0
FR;2020-06-13;0;2;;0;0;0;0
FR;2020-06-14;0;0;0.281606219295703;0.916337697708239;0.143038079642262;11.808091470468;0.956567157607625
FR;2020-06-14;0;1;;0;0;0;0
FR;2020-06-14;0;2;;0;0;0;0
FR;2020-06-15;0;0;0.271176359321788;0.89994791774923;0.147508019631082;11.8676906703189;0.96252707759272
FR;2020-06-15;0;1;;0;0;0;0
FR;2020-06-15;0;2;;0;0;0;0
FR;2020-06-16;0;0;0.247336679381411;0.916337697708239;0.156447899608724;11.5056255312244;0.925277577685881
FR;2020-06-16;0;1;;0;0;0;0
FR;2020-06-16;0;2;;0;0;0;0
FR;2020-06-17;0;0;0.250316639373958;0.87461825781258;0.13409819966462;11.1107808322119;0.888028077779042
FR;2020-06-17;0;1;;0;0;0;0
FR;2020-06-17;0;2;;0;0;0;0
FR;2020-06-18;0;0;0.236906819407496;0.861208437846118;0.126648299683253;10.8068249129721;0.852268557868476
FR;2020-06-18;0;1;;0;0;0;0
FR;2020-06-18;0;2;;0;0;0;0
FR;2020-06-19;0;0;0.224986979437308;0.858228477853571;0.113238479716791;10.5147888337025;0.813529077965364
FR;2020-06-19;0;1;;0;0;0;0
FR;2020-06-19;0;2;;0;0;0;0
FR;2020-06-20;0;0;0.22200701944476;0.8790881978014;0.105788579735423;10.1884832145186;0.789689398024987
FR;2020-06-20;0;1;;0;0;0;0
FR;2020-06-20;0;2;;0;0;0;0
FR;2020-06-21;0;0;0.211577159470846;0.873128277816306;0.10876853972797;10.1884832145186;0.78670943803244
FR;2020-06-21;0;1;;0;0;0;0
FR;2020-06-21;0;2;;0;0;0;0
FR;2020-06-22;0;0;0.187737479530469;0.859718457849844;0.104298599739149;10.2197727944403;0.795649318010081
FR;2020-06-22;0;1;;0;0;0;0
FR;2020-06-22;0;2;;0;0;0;0
FR;2020-06-23;0;0;0.187737479530469;0.83289881791692;0.0864188397838665;9.89793711524526;0.755419858110695
FR;2020-06-23;0;1;;0;0;0;0
FR;2020-06-23;0;2;;0;0;0;0
FR;2020-06-24;0;0;0.189227459526742;0.822468957943005;0.0953587197615078;9.63868059589366;0.728600218177771
FR;2020-06-24;0;1;;0;0;0;0
FR;2020-06-24;0;2;;0;0;0;0
FR;2020-06-25;0;0;0.187737479530469;0.810549117972817;0.105788579735423;9.4166735764489;0.712210438218762
FR;2020-06-25;0;1;;0;0;0;0
FR;2020-06-25;0;2;;0;0;0;0
FR;2020-06-26;0;0;0.180287579549101;0.809059137976543;0.114728459713064;9.13655733714947;0.689860738274658
FR;2020-06-26;0;1;;0;0;0;0
FR;2020-06-26;0;2;;0;0;0;0
FR;2020-06-27;0;0;0.17581763956028;0.779259538051072;0.117708419705611;8.87730081779787;0.666021058334281
FR;2020-06-27;0;1;;0;0;0;0
FR;2020-06-27;0;2;;0;0;0;0
FR;2020-06-28;0;0;0.153467939616177;0.762869758092063;0.123668339690705;8.86687095782396;0.676450918308196
FR;2020-06-28;0;1;;0;0;0;0
FR;2020-06-28;0;2;;0;0;0;0
FR;2020-06-29;0;0;0.153467939616177;0.753929878114421;0.116218439709338;8.92945011766744;0.680920858297017
FR;2020-06-29;0;1;;0;0;0;0
FR;2020-06-29;0;2;;0;0;0;0
FR;2020-06-30;0;0;0.147508019631082;0.734560138162865;0.120688379698158;8.75512245810344;0.654101218364093
FR;2020-06-30;0;1;;0;0;0;0
FR;2020-06-30;0;2;;0;0;0;0
FR;2020-07-01;0;0;0.13409819966462;0.725620258185224;0.114728459713064;8.47947615879283;0.619831678449801
FR;2020-07-01;0;1;;0;0;0;0
FR;2020-07-01;0;2;;0;0;0;0
FR;2020-07-02;0;0;0.128138279679526;0.706250518233667;0.104298599739149;8.26640901932571;0.601951918494518
FR;2020-07-02;0;1;;0;0;0;0
FR;2020-07-02;0;2;;0;0;0;0
FR;2020-07-03;0;0;0.105788579735423;0.682410838293291;0.098338679754055;8.05334187985859;0.578112238554141
FR;2020-07-03;0;1;;0;0;0;0
FR;2020-07-03;0;2;;0;0;0;0
FR;2020-07-04;0;0;0.105788579735423;0.686880778282111;0.0968486997577814;7.89093406026477;0.564702418587679
FR;2020-07-04;0;1;;0;0;0;0
FR;2020-07-04;0;2;;0;0;0;0
FR;2020-07-05;0;0;0.113238479716791;0.676450918308196;0.0893987997764136;7.88646412027595;0.572152318569047
FR;2020-07-05;0;1;;0;0;0;0
FR;2020-07-05;0;2;;0;0;0;0
FR;2020-07-06;0;0;0.114728459713064;0.680920858297017;0.0938687397652343;7.93414348015671;0.582582178542962
FR;2020-07-06;0;1;;0;0;0;0
FR;2020-07-06;0;2;;0;0;0;0
FR;2020-07-07;0;0;0.104298599739149;0.671980978319376;0.105788579735423;7.7657757405778;0.572152318569047
FR;2020-07-07;0;1;;0;0;0;0
FR;2020-07-07;0;2;;0;0;0;0
FR;2020-07-08;0;0;0.104298599739149;0.640691398397631;0.105788579735423;7.59889798099516;0.54831263862867
FR;2020-07-08;0;1;;0;0;0;0
FR;2020-07-08;0;2;;0;0;0;0
FR;2020-07-09;0;0;0.104298599739149;0.670490998323102;0.105788579735423;7.49459938125601;0.539372758651029
FR;2020-07-09;0;1;;0;0;0;0
FR;2020-07-09;0;2;;0;0;0;0
FR;2020-07-10;0;0;0.113238479716791;0.704760538237394;0.111748499720517;7.35901120159511;0.530432878673387
FR;2020-07-10;0;1;;0;0;0;0
FR;2020-07-10;0;2;;0;0;0;0
FR;2020-07-11;0;0;0.105788579735423;0.6988006182523;0.10876853972797;7.18170358203856;0.512553118718105
FR;2020-07-11;0;1;;0;0;0;0
FR;2020-07-11;0;2;;0;0;0;0
FR;2020-07-12;0;0;0.102808619742876;0.706250518233667;0.107278559731696;7.18170358203856;0.505103218736737
FR;2020-07-12;0;1;;0;0;0;0
FR;2020-07-12;0;2;;0;0;0;0
FR;2020-07-13;0;0;0.111748499720517;0.746479978133054;0.114728459713064;7.27259236181125;0.515533078710652
FR;2020-07-13;0;1;;0;0;0;0
FR;2020-07-13;0;2;;0;0;0;0
FR;2020-07-14;0;0;0.105788579735423;0.736050118159139;0.110258519724243;7.14594406212799;0.503613238740463
FR;2020-07-14;0;1;;0;0;0;0
FR;2020-07-14;0;2;;0;0;0;0
FR;2020-07-15;0;0;0.104298599739149;0.783729478039893;0.117708419705611;7.22789296192304;0.520003018699472
FR;2020-07-15;0;1;;0;0;0;0
FR;2020-07-15;0;2;;0;0;0;0
FR;2020-07-16;0;0;0.098338679754055;0.794159338013807;0.128138279679526;7.10422462223233;0.509573158725558
FR;2020-07-16;0;1;;0;0;0;0
FR;2020-07-16;0;2;;0;0;0;0
FR;2020-07-17;0;0;0.0953587197615078;0.801609237995175;0.128138279679526;6.99247612251182;0.485733478785181
FR;2020-07-17;0;1;;0;0;0;0
FR;2020-07-17;0;2;;0;0;0;0
FR;2020-07-18;0;0;0.101318639746602;0.809059137976543;0.141548099645988;6.81814846294781;0.484243498788907
FR;2020-07-18;0;1;;0;0;0;0
FR;2020-07-18;0;2;;0;0;0;0
FR;2020-07-19;0;0;0.102808619742876;0.797139298006355;0.140058119649715;6.77791900304842;0.473813638814992
FR;2020-07-19;0;1;;0;0;0;0
FR;2020-07-19;0;2;;0;0;0;0
FR;2020-07-20;0;0;0.0968486997577814;0.798629278002628;0.131118239672073;6.87625768280248;0.479773558800086
FR;2020-07-20;0;1;;0;0;0;0
FR;2020-07-20;0;2;;0;0;0;0
FR;2020-07-21;0;0;0.101318639746602;0.838858737902014;0.135588179660894;6.78536890302979;0.48126353879636
FR;2020-07-21;0;1;;0;0;0;0
FR;2020-07-21;0;2;;0;0;0;0
FR;2020-07-22;0;0;0.0923787597689607;0.831408837920647;0.128138279679526;6.58124164354031;0.458913838852257
FR;2020-07-22;0;1;;0;0;0;0
FR;2020-07-22;0;2;;0;0;0;0
